concept	Badga	Betta_Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari_Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
bone	i l ə	j a l ə ʋ ə	a ɖː ə	b o kː a	j e l u b u,m uː ɭ e	m uː ɭ e	b o kː a	j e l u ʋ ə	b uː l aː,b uː l k	kʰ o tʃ o l	n/a	e lː ə,a s t i	oː tʃ u l d iː	n/a	b uː l a	e l u m b ə	j e m u k a,b o kː a	e l f	e lː ə	m uː ɭ e
breast	m aː ɾ ə	k u j n d i g i	x a d	d u d o	e d e,s tʰ a n a	m e l e	s aː tː i	m eː l	e d d a m	j e ʋ a kʰ	s i p a d a k i	m aː r̪ u,m u l a,s t a n a m	d a i b u k u	p a l g i l	e d r a m	m aː ɾ b ə,m aː ɾ ə	g u n d e,s tʰ a n a m u	n i dʒ i k u ɖ i	t i g a l a	m e l e
burn	k i tʃ iː k d ə	b j aː ɭ,k a tː u	x aː x a ɾ # t i nː i n g	n i ɾ u s	s u ɖ u	tʃ uː ɖ ə	g o n ɖ k a	k aː t o	m a ɳ ɖ u	o l n a	n/a	k a t i kː u g a	m eː d a	n/a	n/a	e ɾ i	k aː l u,m a ɳ ɖ u	t iː kː u # k aː tː i t i	p o tː a ʋ a ɾ a	tʃ uː ɖ ə
claw	u g i l ə	k iː j ə gː ə ɾ ə	h o ɾ # a d,z e e l	g o ɾ k	u g a ɾ u	ʋ o j i	g oː ɾ	k a i j oː ɾ u	g oː ɾ k	o ɾ o kʰ	g a ɾ k a	n a kʰ a m	o ɾ u g d u	k a ʂ ʋ a n ɖ e	g eː r i	n a g a m	g oː ɾ u	j uː r	u g u ɾ u	u mː i
cloud	m a n dʒ u	m oː ɖ ə	dʒ a mː a ɾ	m a bː u	m eː g h a,m oː ɖ a	m oː ɖ a	aː b a r	m eː g a m	m a bː u	b a d aː l i	h aː g u,d u n ɖ a ɾ a	m e kʰ a m	b a d l iː	n/a	m a l g u r	m eː g a m	m eː gʱ a m u,m a bː u,m oː ɖ a m u	m eː g a m	m oː ɖ a	m oː ɖ a
cold	k o ɾ u ʋ ə	s ə j l i j ə	j a kʰ,j a x	s a lː a g	t a ɳ ɳ i g e	t a l i n dʒ a d ə,k oː ʈ a	p a n i	k o ɾ ʋ ə	s a lː aː	k iː ɾ n a	n/a	t a ɳ u pː ə	p a n i j aː,k i ʋ a	n/a	p a ɲ i l	k u ɭ i ɾ tʃ i	tʃ a lː a	k o ɾ t i	tʃ a pː a	t a ɳ i dʒ e
come	p a pː a	b aː ɾ	b a nː i n g	ʋ a	b a r u +,b aː	b aː	ʋ a	n/a	ʋ a,ʋ aː d a ɖ a m	b a ɾ n a	n/a	ʋ a ɾ u g a	b a ɾ ə aː	ʋ a	v e r +	ʋ aː	ʋ a tːʃ u,ɾ a	p aː ɾ t i	b a ɾ a ɾ a	b aː
die	s aː ʋ a d ə	m a ɾ d oː g	k a h i n g	h aː	s aː j i	tːʃ ɭ a	t i g t eː n	t aː ʋ ə	ɖ o lː a t a m	kʰ e n a	n/a	m a ɾ i kː u g a	k e ə aː n aː k e ə i d aː h	n/a	c a y +	tʃ aː,s a tː ə # p o	tʃ a tːʃ i p oː ʋ u	k e ɖ u o i s i	s a j j a ɾ a	tʃ aː ɭ a
dog	n e	n aː j ə	k u tʃ a k	n e j	n aː j i	n aː j i	aː t e	n aː j i	n e j	a lː a	n/a	n aː j a,p a ʈː i	k u tːʃ o	n e	n e tː a	n aː j i	k u kː a	n o i	n aː j i	n aː j i
drink	k u ɖ a p ə	k u ɖ i	k u n i n g	u n	k u ɖ i +,k u d i j oː d u	k u ɖ i p a	a n i ɾ u s aː t	u n a t u k ə	u nː u	o nː a	n/a	k u ʈ i +,k u d i kː u g a	h oː n aː	u n	u n +	k u ɖ i	t aː g u	u ʈː u d i	p a ɾ i j a ɾ a	k u ɖ i p ə
dry	o ɳ i k i l a d ə	a j n g ə n u # i p ə d ə	b aː ɾ u n	ʋ a ʈː a	b a tː i d a,o ɳ a g i d u	o ɳ a n g i n a	aː t i ɾ	k a n ʈ i k o	a ɾ t aː d,p o ɖ i	kʰ a j k a	n/a	v a r a ɳ ʈ a,u ɳ a n g i j a	aː i k aː	n/a	n/a	u l a r n t a,k a i n d a d ə,k aː n dʒ ə	e ɳ ɖ u,p o ɖ i	o ɳ i k i s i	n u n g u d u n a	u n a k u
ear	k i ʋ i	k i ʋ i j a	x a f	k e ʋ u	k i ʋ i	k e m i	k e ʋ	k e ʋ ə	k e ʋ,k e ʋ k	kʰ e b d a	k i ɾ i j u	tʃ e ʋ i,k aː t u	d a ɾ t iː	k e k a l	k e k o l	k aː d ə	tʃ e ʋ i	k i l i	k e b i	k e m i
earth	n/a	b uː m i	ɖ a g aː ɾ	m a nː ə	m a ɳ ɳ u	m a nː ə	bʱ uː m i	bʱ u l oː g a m	m a ʈː i	kʰ e kʰ e l	bʱ u m i,i ɾ aː	m a nː ə	bʱ u m i	t u k u d	t uː k	m a nː ə	m a nː u,m a ʈː i	k o ɖ ə	m a nː ə	n/a
eat	t i m b ə	t i nː	k u n i n g	dʒ e ʋ i	t i nː u	t i n ə	aː n t i s a t u n	t i n # a t e j	t i nː u	m o kʰ n a	t i n u	t i nː u g a	dʒ aː g oː l p a h,l a p a h	t i n	t i n +	s aː p ə d ə	t i n u	t o ɾ t i n	u ɳ aː ɾ a	t i nː oː
egg	m o ʈː e	m u j ɾ g i	x u a h a e,b a ɛ d ɛ	m iː n dʒ	m o ʈː e,t a tː i	m u ʈː e	s a n k u	m o o ʈ ə	g a ɾ b a m	b iː	t a l a	m u ʈː a	ɾ a ɾ a p aː n d u	k a ɾ b ə	n/a	m u ʈː e	g u ɖː u	m u ʈː e	k e tː i	m u ʈː e
eye	k a ɳ ɳ ə	k a ɳ ɳ u	x a n	k ə ɖ ə	k a ɳ ɳ ə	k a ɳ ɳ ə	k a n	k a ɳ ɳ ə	k o ɳ ɖ	kʰ a nː	k a n u	k a ɳ ɳ ə,n eː t ɾ a m	aː n d u	k a ɳ u l	k a n	k a ɳ ɳ ə	k a nː u	k a ɳ	k a ɳ ɳ u	k a ɳ ɳ ə
fat	k o ɭ ə pː ə	t a nː i ʋ i,t e ɾ i j a	tʃ a ɾ p iː	k o ɾ o n dʒ	k o bː u	tʃ e ɾ a b i	n/a	k o ɭ u p u	k o d o ʋ oː s,l aː ʋ	n e ʈ a	n/a	k o ɻ u pː ə	n e dːʒ a	m eː n	k o ɽ u k u ɖ	k o ɻ u pː ə	k o ʋː u,l aː ʋ u	k o ɻ ə pː ə	tʃ e ɾ a b i	tʃ i ɾ a b i
feather	ɾ a kː e	t i ʋ i j a	p a ɾ ɾ ɛ	b u ɾ a	g a r i,t u p a ʈ a	t o p a ʈ a	b u lː	ɾ eː k ə	g e ɾ k	p e n tʃ o	n/a	t uː ʋ a l ə	p a k iː	n/a	n/a	ɾ e kː e	iː k a	i ɾ a kː e	h u ʋ i	t oː p ə ʈ aː
fire	k i tːʃ ə	t i sː ə	x aː x a ɾ	t a ɖ m i	b e n k i	t i tː a	k i sː	n i pː u	k i s,n e gː a ɖ	tʃ i tːʃ	d a n k e ɾ e	t eː,a g n i	tʃ i tʃ a d u	n/a	k i c	n e r u pː u,t eː	n i pː u,m a ɳ ʈ a,a gː i	t iː tː ə	t u ʋ u	t iː
fish	m iː n ə	m iː n u	m a tːʃ iː	m iː n	m iː n ə,m a ts y a	m iː n ə	g u ɖː i	m iː n ə	k iː k e	i n dʒ o	n/a	m iː n,m a l s j a m	m iː n d u	m iː n	k e y	m iː n ə	tʃ eː p a	m iː n	m iː n ə	m iː n ə
fly	p a ɾ a pː ə	p aː ɾ	b aː l # k a nː i n g	p a ɾ i	h aː ɾ u	p aː ɾ a	t u l s aː d	p aː ɾ ʋ u	t u lː a	u ɖ i j a ɾ n a	n/a	p a ɾ a kː u g a	u ɖ aː ɾ i	n/a	n/a	p a ɾ ə	e g u ɾ u	p oː ɾ tʃ	ɾ aː p a ɾ a	m a nː ə
foot	a n g aː l ə	k aː l ə	n a t	k aː l	a ɖ i,p aː d a	a n g aː l	dʒ e ʈː a	t a p a ɖ	a ɖ u g u	kʰ e ɖ	p aː d a m i	a ʈ i,p aː d a m	ɾ a ɖ a d u	p aː d a m	n/a	a ɖ i,p aː d a m,k a a l ə	a ɖ u g u,p aː d a m u	k oː l	k aː l ə	k aː l ə
full	tʰ u m b e	f u lː ə	p u ɾ	n i ɳ ɖ	t u m b i d u	d u m b a	n i n ɖ u	n/a	n i n ɖ aː	n i n d k a	g u ɾ a	n i ɾ a ɲ a	n i n d p aː	p u n e ʈ	n/a	n i r̪ a i n t a,m u ɭ u	n i n ɖ u	s oː kː a i j e	d i n dʒ i d u n ɖ u	d u m b a
give	k o ɖ u	k o ɖ	t i nː i n g	h i	k o ɖ u	k o ɖ i	s iː t aː n	t e j	iː m,iː d a t a m	tʃ i h n a	t a a	k o ɖ u kː u g a	tʃ i b aː h	tʃ i	c iː +	k u ɖ ə,t aː	i tːʃ u,i ʋː a ɖ a m	i tː ʃ a d t a	k o ɾ o	k o ɖ u
good	o ɭː a j a d ə	n a lː	dʒ u aː n	a sː a l	o ɭː i j a d u	n a lː a	s o b h a t a n	o l u d ə	m a n tʃ i d	d aː ʋ	n e j u n	n a lː a	h eː ɖ u,ɾ a ɖ u	n/a	n/a	n a lː a	m a n tʃ i	u l t i	e ɖː e d a n a	n a lː ə
green	p a tːʃ e	p a sː l aː n g i	g u a n a kː i	p a tːʃ a d,h iː	h a s i r u	p a tːʃ e	n i g u ɾ	p a tːʃ ə	p a tːʃ a	h a ɾ i j aː ɾ	aː k u p a tːʃ a,n i l i a,k a s u l i	p a tːʃ a	ɾ a n a l o	n/a	p a y	p a tːʃ ə	p a tːʃ a	p a tːʃ a i	p a tːʃ e	p a tːʃ e
hair	o ɾ a m e	t aː k ə ɾ ə	p u ʒ ʒ ɛ	k e l	k uː d a l u,k uː d a l u	t e l a m i	t iː ɾ u	m a n ɖ ə # m iː ɾ ə	dʒ u ʈː u l,k e l k	tʃ u ʈː i	b a n a	m u ɖ i,r oː m a m	t aː l i	tʃ e n d i,t a l tʃ e n ʈ i	n/a	m u ɖ i,m a i ɾ ə	v e ɳ ʈ ɾ u k a l u,dʒ u ʈː u	m iː ɾ s	k uː dʒ a l	t i l a m i
hand	k a j	k iː j a	ɖ uː	k a j	k a j	k a j	k e j u	k a i j	k a j	kʰ e k kʰ a	k e j u	k a j	ʈ e ʈ u	k iː	k e y	k a j	tʃ e j j i	k o i	k a i	k a j
head	m a n ɖ e	m a ɳ ɖ i	k aː ʈ u m	t a lː a	t a l e,t a l e	m a ɳ ɖ e	t a l	m a n ɖ ə	t a l a k aː j	k u k	t ɾ a j u n	t a l a,ʂ i ɾ a s ə	k u k u d u	t aː l	t e l	t a l ə	t a l a	m a ʈː ə	m a n ɖ a	t i l e
hear	k eː p ə	k əː ɭ	b i n i n g	k e n dʒ	k eː ɭ u	k eː ɭ ə	ʋ i n t i	k eː l ə	k eː dʒ a	m e nː a	n/a	k e l k u g a	m eː n a,m eː n p o	n/a	v e n +	k eː ɭ ə	ʋ i n u	k eː l	k e ɳ a ɾ a	k eː ɭ u
heart	n/a	j a d d i	u s t	g u ɳ ɖ e	h r u d a y a	h r u d a j a	g u n ɖ e,p aː n a m	n e n dʒ u	g u ɳ ɖ e k aː j a	b u k a	n/a	h ɾ u d a j a m	h u g l iː	dʒ i b e	n/a	i d a j a m	h ɾ u d a j a m u,g u ɳ ɖ a	m a n a s ə	n/a	n e n dʒ i
horn	k o m b ə	k o m bː ə	m a ɾ gʱ	k o ɾ	k o m b u	k o m b ə	k o mː u	n/a	k o mː,k oː kː u	m a ɾ a g	n/a	k o m p ə	m a ɾ g a d u	k a ɾ # g u tʃ u l	n/a	k o m b ə	k o mː u	k uː ɾ	k o m b u	k o m b ə
kill	k o pː ə	k e n g aː ɭ	k a s f i n g	h a ʋ k a,kʰ a t a m k i	k o lː u	k o lː ə	a l a n g ʈ aː n	t aː ʋ i ɾ	a ʋ a k aː	e ɖ a b n a	n/a	k o lː u g a	b a dʒ p o	n/a	n/a	k o lː ə	tʃ a m p u	k e ɖ u k i s t i	k e ɾ i j a ɾ a	k o lː ə
knee	m u ʈː i	m a nː g aː l ə	g oː ɖ	t o n g ɾ a	m u ɳ a k aː l o,m a ɳ ɖ i	m a ɳ ɖ i	m u ɖ s u	m oː g aː l	m oː k aː l,b o ʈ m i ɳ ɖ aː	m u k a	m e n d a j a	m u l̪ a ŋ k aː l,m u ʈː ə	m uː k a	ʋ a n g u l	n/a	m u l̪ a ŋ k aː l,m u ʈː i,m uː ʈ ə	m oː k aː l u	m u ʈː i	m e ɳ a k aː l ə g a n ʈ u	m uː l e k aː l ə
know	a ɾ a ʋ ə	g o tː # u ɳ ɖ i,g o tː aː g	tʃ aː i n g	j e ɾ p a ʈ	a r i +,t e l i d i k o	a ɾ i	u ɾ t a n ɖ aː t	a s uː b e j	t e l u s eː	a kʰ n a	n/a	a ɾ a j u g a	h aː h p o,b a ɖ e m i n p o,s i k aː ɾ p o	s u n	p u n +	a r̪ i +,t e ɾ i j u m,t e r i n dʒ u k o	e r̪ aː g u +,t e l u s u k o,t e l u s u k o n u	a ɾ s p i n i	t e ɾ i j a ɾ a	a ɾ i ʋ o
leaf	e l ə	j a l i	p a nː	aː k i	j e l e	e l a k a ɳ ɖ a	aː k	eː l u	aː k iː	a t kʰ a	p a t ɾ a	i l a	h aː tʰ a	ʈ u n ɖ e	e v	e l e	aː k u	e ɾ s	i ɾ a	e l e
lie	h a ɖ a ʋ ə	b aː ɖ,b aː ʈ ɳ u # iː ɾ	d ɾ o gʱ # t a ɖ i n g	m i ɳ ɖ s i,d o l s i	m a l a g u	b u d d a	l a b aː ɖ # m u ɖ s a t i	n/a	u n dʒ a	p a i h a,f a s i j aː r	n/a	k i ɖ a kː u g a	k oː ɖ p o	n/a	m a ɖ +	k e ɖ ə,p a ɖ ə	p a ɖ u k o n u	p o a ʈ tʃ iː,p o kː u m	b u ɾ oː n a ɾ a	b iː n d o
liver	n/a	t ə d l ə	dʒ a g a ɾ	t a ɾ k i	h iː r i,m e d a dʒ iː ɾ i k a	t o m b e	k a l e j a	iː r u	k aː dʒ a m	u m b a l kʰ o	n/a	iː r a l,k a ɾ a ɭ ə	tʃ e d ɾ o	t a ɖ i n g	t a r u ŋ g	iː ɾ a ɭ	k aː l e j a m u	k u ɖ aː l	n/a	t o m b e
long	u tː a	u d d u	m u ɾ g u n	l aː m	u d d a	u d d ə	p o ɖ aː m	n iː t a m	p o ɖ a ʋ u ʈ aː d u	d i g aː h	n/a	n iː n ɖ a,n iː l a m u ɭː a	d i g a ɖ o	n/a	n/a	n iː ɳ ʈ a,n iː ɭ a m,n iː ɭ a m aː n a	p o ɖ a ʋ u	n e ɾ t i	u d a	n iː ʈ a
louse	i l i,k i l i	p j aː n u	b oː dʱ	p o ɾ k i	h eː n u	p eː n ə	p aː n u	p a i j i	p o ɾ i k i	p eː n	n/a	p eː n	n/a	n/a	p eː n i	p eː n ə	p eː n u	i ɾ s	p eː n	p eː n ə
man	k a n ɖ u m u g a	g ə ɳ ɖ a ɭ ə	n a ɾ e e n ə	m a n k a l	p u r u ʂ a,g a n ɖ a s u	aː n a a ɭ ə	m a n i ʂ aː n	g a n m a g u	m a g a ʋ aː ɳ ɖ,p eː k aː l	m eː t	k a k a s i,ɖ o l a,k o d o m i	aː ɳ ə,p u ɾ u ʂ a n	m u ɖ s aː	n/a	n/a	aː ɳ ə,aː ɳ,aː m b ɭ e	p u ɾ u ʂ u ɖ u,m a g a ʋ aː ɖ u	aː l o m	aː n dʒ ʋ u	p a n i j a
many	a pː a ɾ a	k a j ɾ i j ə	b aː z	dʒ aː s t a,ʋ e lː e n	h a l a ʋ u	d u m b a	p e ɾ e	iː dʒ oː ɖ	tʃ aː l a,b e tːʃ oː k o	b a gː e	n/a	p a l a,o tː i ɾ i	d iː k e h i,g aː ɖ e h i	n/a	n/a	p a l ə,n e ɾ i j a	n aː n aː,tʃ aː l a	u pː uː m	b aː ɾ i	t u m b a
meat	p aː ɖ ə,p aː g ə	ə ɾ s i	s uː	h a ʋː i	b aː ɖ u,m aː m s a	e ɾ a tʃ i	m u ɾ i j a	p o d u,k e t e ɾ i	a n g iː	a h ɖ aː	n/a	i ɾ a tʃ i,m aː m s a m	m aː k ɖ u	n/a	n/a	i r̪ a i c c i,k a ɾ i	m aː m s a m u	p iː t	m aː s a	i ɾ a tʃ i
moon	t i n g u ʋ a	p ə ɾ i	ʈ uː b e	dʒ a n g o	c a n d r a,tʃ e n d ɾ a	tʃ e n d ɾ a	n e l a	n e l a v ə,u n aː ʋ ə	s a n ɖ a m aː m a,n e lː a	tʃ a n d o	l e n dʒ u	tʃ e n d ɾ a n	b i l p d u	n e l i n g	n e l i ɲ	c a n t i r a n̪,n i l a	tʃ e n d ɾ u ɖ u	n i l a	tʃ e n d ɾ e	n i l a tʃ i
mountain	m a l e	b ə ʈː ə	m a ʃ	m e ʈː a	b e ʈː a	k u n d ə	d a n ɖ i m eː ʈ	ʋ eː ʈ u m e	g u b a l,m e ʈː a	p a ɾ t a	n/a	m a l a,p a ɾ ʋ a t a m	b eː ɖ o # p a h aː ɖ i	k a pː e	n/a	m a l a i	k o n ɖ a,p a ɾ ʋ a t a m u	t i ʈː ə	d aː ɾ i	k u n d ə
mouth	p e	b aː j ə	b aː	t o ɖː i	b aː j i	b aː j i	m uː t i	ʋ aː j i	p a v uː ɾ	b a j i	g u ʈ i	ʋ aː j a	t o ɾ o	tʃ aː l u	v aː y	ʋ aː j i,ʋ aː	n oː ɾ u	p oː i	b aː j i	b aː j i
name	e s a ɾ ə	p j aː ɾ ə	p i n	p o ɾ o l	h e s a r u	p e d a	p eː ɾ	p eː ɾ	p e d e ɾ	n aː m e	d o r u	p e ɾ ə	n aː m i	n/a	p i d i r	p eː ɾ ə	p eː ɾ u	p eː ɾ	p u d a ɾ ə	p eː ɾ u
neck	k a t ə	k pː m aː ɭ i	l e x	g u ɖ u n g a	k u tʰ i g e	b oː ɭ e	m a k	k a ɖ a t eː l	m e ɖ a k aː j a	kʰ e s i r	n/a	k a ɻ u t ə	a s a ɾ d u,ɖ oː n ɖ o	k a n ɖ	n/a	k a ɭ u tː ə	m e ɖ a	m a ɾ	k e kː i l ə	b oː ɭ e
new	o s t ə	p ə j j m ə n	p uː s k u n	p u n a	h o s a d u	p u d i j a	k o t a	p u d i j a d ə	k o tː a d	p uː n a	p u n i	p u d i j a	p uː n a	n i a	p u n	p u d u s ə,p u d u	k o tː a	p u d uː n	p o s a tː a	p u d i j a i
night	i ɾ ə	ə d l ə	n a m	n a ɾ k a ɖ	ɾ aː t ɾ i	b a j i ʈ ə	s i ɾ b e d i n	eː l u m a ɾ a m	m u l i p e	m aː h a	l aː n	ɾ aː t ɾ i	ɾ aː t i,m aː aː	n/a	n/a	i ɾ aː ʋ ə,ɾ aː ʋ ə,ɾ aː t ɾ i	ɾ aː t ɾ i	e kː aː ɖ ə	ɾ aː t ɾ e	a n d i
nose	m uː k ə	m uː kː ə	b aː m u s	m o s o ɾ	m uː g ə	m uː kː ə	m uː kː	m uː k ə	m o sː oː ɾ	m uː j i	m u n g e l i	m uː k ə	m u s oː	m u n g a n	m u v ã ɖ	m uː k ə	m u kː u	m i tː uː p	m uː g u	m uː kː ə
not	k u lː e	i l a,a l a	aː x a,n ɛ	h e lː e	a lː a	i lː e	k aː d u	i lː a	i lː e	m a l a	n/a	i lː a	m a l aː,h a m b i j a	n/a	n/a	i lː e	l eː d u,k aː d u	aː ɖ u d i	aː t u	i lː e
one	o n d ə	ʋ a n d ə	a s i t	o n d i	o n d u	o n d ə	o kː oː t	oː d i t	o ɾ ɾ oː ʈ	oː n d	r a n ɖ i	o nː ə	oː n d	o k u ʈ i	o k	o nː ə	o k a ʈ i	u tː ə	o n dʒ i	o n dʒ u
person	k a n ɖ ə	aː ɭ ə	b a n d a g	l o k u ɾ	m a n u s a	m a n a s a	m a n i ʂ aː n	n/a	m a n s uː ɳ ɖ	aː l	n/a	m a n u ʂ a n	m a l a h	n/a	n/a	m a n̪ i t a n̪,m a n u ʂ a n	m a n i ʂ i	k i nː uː ɖ ə	m a n u ʂ eː	m a n u tʃ e
rain	m e	m a ɭ i	p ɛ ɾ	p i ɾ	m a ɭ e	m a ɭ e	ʋ aː n a	m a i	ʋ aː n a	tʃ eː p	b e l a	m a ɻ a	dʒ a ɖ aː	n/a	v aː n i	m a ɻ a i	ʋ a r ʂ a m,ʋ aː n a	m e ɖ u tː i	b a ɾ s a	m a ɭ e
red	k e pː ə	t i sː ə g a ɳ ɖ aː n g i	x iː s u n	e ɾ ɾ a g,j e ɾ ɾ a g	k e m p u	tʃ oː p ə	j e r u ɖ i	n e t i ɾ	e ɾ ɾ a	k h e s o	n e t u ɾ i,g a ɖ g a	tʃ u m a pː ə	eː s o	n/a	k e y	c e + m +,s e ʋ a pː ə,s e g a pː ə	e ɾ u p u	k e pː ə	k e m p u	tʃ oː p ə
road	t aː ɾ i	b a ʈː i	s a ɖ a k	h a ɾ ɾ i	m aː r g a,r a s t e	b aː t e,ɾ a s t e	d a a ɾ,t aː ʋ u	t aː ɾ i	a ɾ ɾ i	ɖ a h a ɾ e	n/a	ʋ a ɻ i	p aː o d u	r a s t a	p aː v	v a l̪ i	m aː ɾ g a m u,d aː ɾ i,b aː ʈ a	aː l a ɾ	p a ɾ v a t a	r a s t e
root	p eː ɾ ə	b j aː ɾ ə	ɾ oː t ɛ	h iː ɾ	b eː ɾ u	b eː ɾ ə	ʋ eː ɾ k a m	n/a	ʋ eː ɾ	p aː d a	ʋ e ɾ	ʋ eː ɾ ə	b a n d aː	k u ɾ e	v aː r	ʋ eː ɾ ə	ʋ eː ɾ u	ʋ e ɾ	b eː ɾ u	b eː ɾ ə
round	n/a	b ə j n s a k ɾ a n g uː d ə	g oː l # p e ɾ i	g u ɳ ɖ ɾ a l	b a ʈː a,d u ɳ ɖ a n e	u ɾ u ʈ a	b u bː a ɾ i	ʋ a ʈ a m	g u ɳ ɖ ɾ aː n	g u ʈ i ɳ ɖ a	n/a	v a ʈː a +,u ɾ u n ɖ a	g u ɖ m e,g u ɖ i j o	n/a	n/a	ʋ a ʈː a m,u ɾ u n ɖ a i	g u ɳ ɖ ɾ a n i	u ʈː i	u ɾ u ʈ ə	u ɾ u ʈ u
sand	p a kː e	m a ɳ a l ə	ɾ eː k	u s k e	m a r a ɭ u,u s u b u	m a ɳ a	u s u k a	n/a	i s i k e	tʃ a l k u ɾ u	b a l i	m a ɳ a l	b aː l i	m aː n	m a n	m a ɳ a l	i s u k a	m a n a l	p o j j a	m a ɳ ə
say	e g ə ʋ ə	p əː ɭ	p aː n i n g	i n	h e ɭ u	a nː ə	n/a	p a i d u	k e lː a	b a kʰ n a	n/a	p a ɾ a j u g a	h a u ɖ p o	n/a	e n +	tʃ o lː ə,s o lː ə	tʃ e pː u	aː ʋ a ɖ ə	p a ɳ a ɾ a	p a ɾ e
see	n oː ɖ ə	n oː ɖ	u nː i n g	h u ɖ a	n oː ɖ u	n oː ʈ ə	t aː n a	n oː ʈ ə	uː ɖ a	j eː ɾ n a	n/a	k aː ɳ u k a	ʈ u n ɖ p o	tʃ u	n/a	k aː ɳ +,p aː ɾ ə	tʃ uː ɖ u	n uː ʈ	t u ʋ aː ɾ a	n oː k u
